,,,,Bordeaux,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Gain total,,,,,,,,Gain total
Cote,Probabilite,Gain,,Cote,Probabilite,Gain,,Cote,Probabilite,Gain,,Mise quad,Resultat,Gain sur le match,0,,EM1,EM2,EM3,Mise ,R̩sultat,Gain match,100
2.75,0.43,1.1825,,3,0.31,0.93,,3.4,0.26,0.884,,1.1825,0,-1.1825,-1.1825,,4.807,,,4.807,0,-4.80693402802854,95.1930659719715
3.7,0.29,1.073,,3.15,0.31,0.977,,2.35,0.4,0.94,,1.073,1,2.8971,1.7146,,1.663,,,1.663,1,4.4904488369915,99.683514808963
4.3,0.28,1.204,,3.65,0.28,1.022,,2.05,0.44,0.902,,1.204,0,-1.204,0.5106,,2.483,,,2.483,,-2.48332644505125,97.2001883639117
3.45,0.4,1.38,,3.15,0.3,0.945,,2.5,0.29,0.725,,1.38,0,-1.38,-0.8694,,6.018,,,6.018,,-6.01817116502161,91.1820171988901
2.16,0.39,0.8424,,3.4,0.3,1.02,,4.9,0.3,1.47,,1.47,0,-1.47,-2.3394,,1.213,,,,,0,91.1820171988901
1.7,0.53,0.901,,3.95,0.28,1.106,,5.8,0.19,1.102,,1.106,0,-1.106,-3.4454,,3.651,,,,,0,91.1820171988901
2.67,0.2,0.534,,3.25,0.28,0.91,,3.1,0.52,1.612,,1.612,1,3.3852,-0.0602,,-0.277,,,,,0,91.1820171988901
1.81,0.48,0.8688,,3.82,0.28,1.07,,4.9,0.24,1.176,,1.176,0,-1.176,-1.2362,,2.677,,,,,0,91.1820171988901
4.6,0.3,1.38,,4.1,0.29,1.189,,1.88,0.41,0.7708,,1.38,0,-1.38,-2.6162,,4.199,,,4.199,,-4.19894367347004,86.9830735254201
2.72,0.38,1.0336,,3.2,0.31,0.992,,3.19,0.31,0.9889,,1.0336,0,-1.0336,-3.6498,,2.748,,,2.748,,-2.74842861231259,84.2346449131075
4.5,0.23,1.035,,3.6,0.29,1.044,,1.97,0.49,0.9653,,1.044,0,-1.044,-4.6938,,0.736,,,,,0,84.2346449131075
15,0.08,1.2,,8.25,0.15,1.238,,1.18,0.77,0.9086,,1.2375,1,8.971875,4.278075,,0.242,,,,,0,84.2346449131075
2.21,0.46,1.0166,,3.45,0.29,1.001,,3.3,0.25,0.825,,1.0166,1,1.230086,5.508161,,3.765,,,,,0,84.2346449131075
6.3,0.2,1.26,,3.7,0.29,1.073,,1.61,0.52,0.8372,,1.26,0,-1.26,4.248161,,1.515,,,,,0,84.2346449131075
2.3,0.47,1.081,,3.25,0.29,0.943,,3.25,0.23,0.7475,,1.081,0,-1.081,3.167161,,4.495,,,,,0,84.2346449131075
3.6,0.32,1.152,,3.3,0.31,1.023,,2.15,0.36,0.774,,1.152,1,2.9952,6.162361,,2.783,,,,,,
2.32,0.4,0.928,,3.25,0.32,1.04,,3.5,0.29,1.015,,1.04,0,-1.04,5.122361,,2.115,,,,,,
2.95,0.31,0.9145,,3.15,0.32,1.008,,2.8,0.36,1.008,,1.008,1,1.1592,6.281561,,0.82,,,,,,
2.2,0.54,1.188,,3.45,0.27,0.932,,3.8,0.2,0.76,,1.188,1,1.4256,7.707161,,6.501,,,,,,
3.25,0.33,1.0725,,3.3,0.3,0.99,,2.36,0.37,0.8732,,1.0725,1,2.413125,10.120286,,2.301,,,,,,
2.58,0.41,1.0578,,3.25,0.31,1.008,,3.2,0.28,0.896,,1.0578,1,1.671324,11.79161,,3.408,,,,,,
8.35,0.18,1.503,,5.35,0.25,1.338,,1.4,0.57,0.798,,1.503,0,-1.503,10.28861,,2.401,,,,,,
4.1,0.26,1.066,,3.25,0.29,0.943,,2.15,0.45,0.9675,,1.066,0,-1.066,9.22261,,1.213,,,,,,
2.83,0.37,1.0471,,3.45,0.29,1.001,,2.8,0.34,0.952,,1.0471,0,-1.0471,8.17551,,2.713,,,,,,
2.67,0.36,0.9612,,3.25,0.3,0.975,,3.1,0.34,1.054,,1.054,0,-1.054,7.12151,,1.826,,,,,,
2.4,0.44,1.056,,3.45,0.28,0.966,,3.3,0.28,0.924,,1.056,0,-1.056,6.06551,,3.833,,,,,,
2.5,0.35,0.875,,3.15,0.33,1.04,,3.38,0.32,1.0816,,1.0816,1,2.574208,8.639718,,0.977,,,,,,
0,0.11,0,,,0.19,0,,,0.7,0,,0,0,0,8.639718,,0,,,,,,
2.32,0.42,0.9744,,3.45,0.3,1.035,,3.6,0.28,1.008,,1.035,0,-1.035,7.604718,,2.814,,,,,,
3.6,0.27,0.972,,3.4,0.3,1.02,,2.32,0.43,0.9976,,1.02,0,-1.02,6.584718,,0.775,,,,,,
2.9,0.37,1.073,,3.15,0.31,0.977,,2.7,0.32,0.864,,1.073,0,-1.073,5.511718,,2.934,,,,,,
3.75,0.32,1.2,,3.15,0.31,0.977,,2.3,0.37,0.851,,1.2,0,-1.2,4.311718,,3.168,,,,,,
6.5,0.24,1.56,,4.2,0.24,1.008,,1.68,0.52,0.8736,,1.56,0,-1.56,2.751718,,4.168,,,,,,
3.5,0.34,1.19,,3.5,0.29,1.015,,2.25,0.37,0.8325,,1.19,0,-1.19,1.561718,,3.428,,,,,,
0,0.27,0,,,0.28,0,,,0.44,0,,0,0,0,1.561718,,0,,,,,,
4.15,0.28,1.162,,3.55,0.31,1.101,,2.07,0.41,0.8487,,1.162,0,-1.162,0.399717999999998,,2.164,,,,,,
3.65,0.32,1.168,,3.7,0.29,1.073,,2.25,0.39,0.8775,,1.168,1,3.0952,3.494918,,2.912,,,,,,
3,0.25,0.75,,3.12,0.31,0.967,,2.75,0.44,1.21,,1.21,0,-1.21,2.284918,,-0.015,,,,,,
